invoice_no,client,amount_chf,amount_btc,ts,notes
,Ella Johnson,33997.15,505.32,2024-11-15,
,Logan Jackson,19653.48,16735.19,2023-07-21,
,Abigail Brown,16967.62,15262.94,2024-09-15,
,Scarlett Smith,16504.15,15111.98,2025-01-05,
,Grace Davis,31790.12,36946.52,2023-12-10,
,Matthew Davis,26402.79,8749.58,2026-01-24,
,Logan Martinez,986.85,6070.91,2025-04-02,
,Ava Smith,39837.0,19372.19,2023-03-19,
,Daniel Gonzalez,36701.48,12334.06,2023-09-08,
,Liam Williams,26702.31,1746.93,2024-12-22,
,Isabella Thomas,4480.51,20215.19,2023-04-11,
,Ethan Martinez,7481.28,36685.35,2023-12-07,
,Ella Johnson,13170.42,28028.88,2026-08-19,
,Mason Anderson,20658.23,5032.87,2026-06-15,
,Ava Johnson,42242.51,9219.58,2024-04-27,
,James Lopez,45683.36,15355.2,2024-07-05,
,Grace Moore,49180.49,37021.69,2025-01-14,
,Logan Smith,48633.74,20685.19,2026-03-10,
,Daniel Brown,45258.43,10176.06,2023-11-04,
,Isabella Jackson,20002.32,10109.72,2026-07-10,
,Abigail Hernandez,31474.38,49955.61,2023-05-23,
,Ella Rodriguez,18568.85,274.12,2024-01-11,
,Lucas Rodriguez,49574.57,18286.01,2024-05-01,
,Charlotte Martinez,10855.51,13.09,2025-07-24,
,Logan Williams,11556.67,2188.57,2024-05-02,
,Abigail Garcia,14676.07,40893.51,2024-05-15,
,Abigail Gonzalez,19876.17,19040.49,2024-09-28,
,Mason Davis,34653.7,47735.18,2024-08-01,
,Logan Wilson,487.02,10555.96,2025-05-17,
,Logan Hernandez,28457.8,29759.21,2025-11-04,
,Noah Hernandez,13135.44,15735.73,2025-12-22,
,Aiden Anderson,35481.36,5529.61,2026-12-14,
,Aiden Johnson,24426.91,25059.0,2024-06-23,
,Sophia Thomas,18034.96,33342.81,2024-08-05,
,John Jones,16728.73,27517.04,2026-10-07,
,Grace Smith,4238.96,12054.86,2023-04-05,
,Grace Wilson,46123.36,21680.57,2026-08-26,
,Ella Jones,48993.02,29857.09,2023-10-25,
,Olivia Jackson,35249.24,7851.59,2023-04-07,
,Jackson Moore,33991.35,26855.39,2024-06-17,
,Mia Brown,44541.33,49239.06,2023-09-20,
,Olivia Brown,33819.7,770.53,2026-12-05,
,Ava Rodriguez,8854.09,32010.32,2023-09-15,
,James Moore,6839.64,5783.28,2026-03-20,
,Ava Thomas,40967.83,46690.01,2025-01-13,
,Abigail Davis,573.0,39366.7,2023-01-12,
,Harper Jackson,42523.41,22131.45,2023-12-17,
,Isabella Taylor,272.34,36582.87,2025-03-18,
,Mason Martinez,37807.66,3016.68,2025-05-04,
,Mia Brown,49770.89,45033.89,2026-06-12,
,Emma Taylor,12557.81,38455.85,2023-05-02,
,Mia Davis,28026.01,40218.82,2026-02-24,
,Ella Hernandez,22945.18,18449.15,2026-05-16,
,Abigail Wilson,29043.9,44308.12,2023-12-20,
,Harper Davis,12986.34,17373.15,2023-11-27,
,Abigail Williams,5831.28,18045.42,2025-04-12,
,Daniel Rodriguez,13266.85,30994.89,2025-01-17,
,Grace Wilson,49781.43,13556.97,2025-08-04,
,James Anderson,20787.16,46396.48,2026-01-07,
,Isabella Moore,29598.27,48650.58,2024-06-01,
,Emma Moore,23671.52,36171.75,2023-02-16,
,Aiden Hernandez,21983.44,2564.31,2026-03-04,
,James Brown,31966.52,14262.79,2025-04-10,
,Mason Jones,48015.42,18127.89,2023-09-27,
,Lucas Williams,21854.64,28977.59,2025-12-27,
,Amelia Anderson,37210.6,4072.46,2025-07-21,
,Sophia Martinez,9706.14,23633.27,2026-10-18,
,Liam Martinez,44192.67,42353.54,2023-09-18,
,Daniel Jones,31913.64,40643.73,2024-12-28,
,Charlotte Martin,11421.38,45963.36,2026-09-26,
,Emma Garcia,44002.88,47866.55,2026-11-11,
,Evelyn Brown,47713.97,36191.17,2025-03-27,
,Isabella Hernandez,24549.06,28611.53,2024-12-18,
,Mia Wilson,22115.27,12305.55,2025-12-14,
,Lucas Martinez,37823.15,18774.07,2024-03-12,
,Emma Johnson,38884.64,22117.75,2025-12-23,
,Jackson Davis,5577.64,21588.13,2025-07-10,
,Daniel Davis,10112.77,24662.83,2026-11-04,
,Grace Anderson,38222.06,41909.72,2025-05-10,
,Emma Williams,9708.06,19900.8,2025-06-15,
,Alexander Jackson,7118.82,3065.61,2025-12-12,
,Ella Rodriguez,8537.56,49607.63,2025-01-23,
,Sophia Garcia,32120.55,36086.57,2024-10-17,
,Sophia Garcia,31843.15,12734.84,2026-08-19,
,Abigail Taylor,48478.97,26836.03,2026-12-10,
,Daniel Williams,35260.17,42158.04,2023-02-15,
,Liam Williams,29250.04,31009.72,2026-11-02,
,Grace Moore,15985.46,41248.32,2026-10-18,
,Liam Martin,16719.25,14933.79,2026-08-25,
,Liam Martinez,38935.67,31309.79,2023-11-09,
,Grace Hernandez,26799.96,35394.54,2024-04-17,
,Abigail Hernandez,13257.01,45621.85,2025-08-06,
,Liam Garcia,46605.14,48363.17,2026-07-10,
,Liam Wilson,37847.06,31701.23,2024-05-26,
,John Hernandez,17681.29,10086.72,2023-11-21,
,Olivia Moore,19015.73,17154.34,2026-08-20,
,Mia Rodriguez,20431.5,44990.64,2024-12-20,
,Liam Smith,29166.92,20114.43,2026-04-26,
,Logan Taylor,8649.13,30154.7,2025-01-05,
,Grace Brown,19517.99,44053.1,2025-09-02,
,Sophia Smith,13472.22,43067.56,2026-04-27,
,John Johnson,8005.42,45631.49,2023-04-21,
,Aiden Hernandez,36323.84,24232.87,2024-01-26,
,Harper Martinez,18344.76,22244.19,2026-11-22,
,Ella Hernandez,32406.92,21436.52,2024-11-19,
,Aiden Taylor,29234.94,959.38,2023-07-25,
,Emma Garcia,49231.88,38384.68,2026-04-15,
,Noah Taylor,40100.15,23579.98,2026-01-24,
,Mason Thomas,5854.62,38445.86,2025-12-23,
,Mason Garcia,4234.14,47580.53,2023-10-24,
,Lucas Jackson,32913.94,23373.21,2023-10-25,
,John Martin,13089.87,11803.55,2023-09-25,
,Amelia Miller,1908.92,10708.64,2024-08-26,
,Aiden Johnson,32475.78,24182.83,2024-09-01,
,Harper Jackson,13376.73,1431.83,2026-05-28,
,Mia Davis,7913.36,8801.56,2025-03-20,
,John Rodriguez,26577.73,8664.68,2026-04-14,
,Mason Anderson,9491.92,47187.46,2023-04-20,
,Scarlett Jackson,8518.18,24072.33,2023-02-12,
,Olivia Jackson,127.39,11587.88,2023-08-23,
,Alexander Martinez,22724.62,39711.15,2026-03-09,
,Ethan Williams,43148.16,49772.45,2023-05-12,
,Evelyn Moore,34192.31,34012.85,2025-03-18,
,Evelyn Lopez,15236.22,28868.38,2025-06-07,
,Mia Anderson,28350.52,2951.68,2024-08-28,
,Sophia Jones,34675.59,42708.04,2024-04-14,
,Ethan Davis,10540.99,23764.53,2023-03-09,
,Evelyn Davis,34815.3,24415.59,2025-09-27,
,Olivia Johnson,31620.3,36352.17,2025-05-08,
,Evelyn Williams,36780.04,11098.3,2024-04-01,
,Evelyn Rodriguez,27692.54,23196.84,2024-06-09,
,Isabella Rodriguez,13953.43,18051.18,2025-03-25,
,Matthew Taylor,16943.64,22417.18,2023-01-19,
,Mia Wilson,48074.54,32370.6,2026-12-11,
,Alexander Martinez,40481.8,7794.27,2026-03-06,
,Ella Brown,25247.28,10397.66,2025-03-09,
,Olivia Garcia,20237.24,146.63,2023-03-13,
,Evelyn Taylor,9035.82,6083.38,2023-03-23,
,Daniel Miller,23892.69,35711.0,2024-12-02,
,Ava Wilson,15843.89,34122.77,2026-09-20,
,Lucas Anderson,35468.6,46979.6,2024-04-05,
,Scarlett Moore,5171.78,1479.93,2024-05-03,
,Charlotte Jones,35993.78,1404.41,2025-06-15,
,Amelia Wilson,212.44,8387.31,2023-08-07,
,Sophia Johnson,15443.67,3734.1,2023-11-20,
,Matthew Hernandez,9838.16,32652.52,2023-08-02,
,Grace Garcia,35574.44,35024.82,2023-08-10,
,Benjamin Williams,6094.73,7719.38,2025-08-11,
,Harper Thomas,38364.48,4135.81,2025-11-01,
,James Martin,28443.32,32993.42,2023-12-08,
,Emma Wilson,45257.51,4045.68,2026-10-12,
,Mason Rodriguez,933.54,13642.0,2026-11-08,
,Amelia Wilson,43235.11,216.74,2026-06-01,
,Ethan Garcia,702.22,35842.6,2025-09-10,
,Alexander Thomas,15649.78,32750.25,2026-03-08,
,Mia Johnson,38023.37,14444.86,2023-02-10,
,Ella Thomas,12527.97,4826.8,2025-06-04,
,Sophia Johnson,21923.49,36825.28,2023-04-24,
,Ella Jackson,14458.54,10077.75,2026-04-14,
,Jackson Davis,36663.97,24711.12,2026-02-12,
,Logan Williams,45867.42,29176.57,2023-11-20,
,Aiden Hernandez,41383.62,28475.8,2023-11-28,
,Mia Martinez,43954.92,37767.17,2023-07-09,
,Charlotte Wilson,2558.58,5087.47,2024-12-18,
,Alexander Gonzalez,46981.71,11121.85,2023-10-02,
,Mia Moore,5691.55,28430.57,2023-04-21,
,Abigail Martin,4411.14,21967.74,2023-08-23,
,Scarlett Moore,32764.96,48712.74,2024-10-28,
,Noah Williams,10142.32,15154.6,2023-03-09,
,Evelyn Lopez,35788.21,34970.43,2026-03-08,
,Logan Martinez,31006.47,2609.68,2024-01-03,
,John Thomas,1938.32,22802.25,2024-02-13,
,Daniel Johnson,49220.47,28660.62,2024-07-08,
,Noah Gonzalez,4467.09,22959.39,2026-06-12,
,Olivia Martin,49188.63,38315.58,2026-11-08,
,Aiden Martin,27865.23,4578.64,2025-08-05,
,Sophia Hernandez,34987.22,19873.73,2024-06-26,
,Amelia Lopez,22603.69,26599.26,2026-12-09,
,Evelyn Rodriguez,27557.74,20400.61,2026-02-01,
,Abigail Wilson,46460.81,44882.77,2024-04-18,
,Alexander Miller,20461.64,2078.57,2025-12-11,
,Emma Garcia,38516.83,43679.35,2026-07-22,
,Ethan Williams,28112.66,32778.32,2026-09-18,
,Emma Moore,38287.81,27387.42,2025-03-20,
,Jackson Martinez,47420.46,4575.26,2023-09-20,
,Ava Anderson,6303.46,41340.55,2024-09-26,
,Logan Taylor,111.8,46640.59,2026-11-11,
,Alexander Thomas,47056.89,23716.21,2024-12-07,
,Ella Anderson,13187.2,48440.95,2025-02-13,
,Ella Wilson,42930.34,48907.95,2025-02-16,
,Emma Miller,13083.52,39015.44,2025-07-01,
,Daniel Williams,41738.56,35813.12,2023-11-09,
,Ava Thomas,45718.32,43319.01,2024-10-04,
,Isabella Johnson,6892.05,39568.48,2023-08-27,
,Ava Gonzalez,13481.67,34963.23,2025-07-15,
,James Brown,35765.52,36478.51,2023-08-25,
,Charlotte Gonzalez,47076.66,23432.88,2025-03-25,
,Emma Martinez,22101.42,37314.16,2025-07-27,
,Abigail Hernandez,18004.26,48534.17,2026-01-05,
,Logan Gonzalez,33594.41,33252.88,2024-08-24,
,Abigail Johnson,14755.86,35114.65,2025-03-04,
,Evelyn Miller,15162.42,43065.26,2025-12-09,
,Olivia Rodriguez,34700.29,35083.05,2023-01-26,
,Ethan Hernandez,26472.89,19582.55,2025-03-14,
,James Thomas,48279.11,49315.44,2025-11-01,
,Sophia Johnson,18116.81,20501.85,2023-08-24,
,Liam Gonzalez,17056.25,36393.55,2025-02-14,
,Lucas Brown,45853.45,17969.07,2024-02-18,
,Lucas Smith,17294.58,37710.7,2025-03-07,
,John Jones,26692.77,6162.62,2023-02-28,
,Logan Smith,36230.94,38968.03,2024-02-22,
,Grace Lopez,42201.92,33546.17,2023-02-28,
,Amelia Thomas,23340.59,18068.73,2024-04-04,
,Ava Hernandez,1432.69,5249.01,2024-02-28,
,Ella Moore,22552.18,1877.44,2024-10-11,
,Ethan Taylor,8761.56,10974.14,2023-03-13,
,Charlotte Davis,46562.68,30641.21,2025-09-14,
,Scarlett Thomas,22013.78,12918.28,2023-10-09,
,Abigail Gonzalez,26672.21,35315.06,2026-10-06,
,Benjamin Taylor,35654.52,47368.4,2026-02-24,
,Harper Johnson,43100.73,14536.21,2024-11-25,
,Matthew Hernandez,7478.41,2856.11,2024-03-22,
,Charlotte Johnson,42873.71,23301.89,2024-10-19,
,Noah Thomas,10802.74,3321.85,2025-08-05,
,Grace Brown,1526.97,26857.11,2026-12-25,
,Matthew Lopez,46077.16,5596.19,2026-10-05,
,Isabella Anderson,26107.18,43472.32,2026-02-04,
,Noah Lopez,42494.44,18297.26,2025-05-15,
,Aiden Hernandez,42289.78,12884.06,2023-08-14,
,Aiden Jackson,9979.44,36200.77,2026-12-26,
,Charlotte Thomas,45109.38,8476.35,2025-10-10,
,Aiden Rodriguez,4488.68,13989.9,2025-02-14,
,Benjamin Johnson,6620.62,3938.7,2025-11-06,
,Noah Smith,3654.09,3783.88,2026-01-13,
,Ella Anderson,30402.22,41431.6,2024-03-10,
,Scarlett Brown,3860.33,32663.92,2023-05-22,
,Lucas Jackson,29491.25,22604.04,2024-07-21,
,Daniel Garcia,3901.61,22421.6,2024-02-24,
,Aiden Taylor,21915.34,42955.23,2024-06-20,
,Isabella Smith,34165.62,30696.37,2026-03-06,
,Emma Garcia,46152.81,29817.82,2025-01-02,
,Charlotte Martinez,15021.18,2696.14,2023-03-20,
,Sophia Brown,18391.77,24573.31,2024-06-22,
,Aiden Lopez,3379.87,37063.4,2023-03-22,
,Isabella Moore,23589.94,15048.51,2025-07-20,
,Mason Garcia,26127.5,47028.11,2023-02-28,
,Emma Moore,48242.25,28295.84,2026-08-21,
,Sophia Rodriguez,6724.81,13513.68,2024-07-08,
,Aiden Martinez,10915.3,21197.64,2023-12-21,
,John Jones,21181.72,29172.01,2024-07-04,
,John Anderson,19920.49,30005.42,2024-08-17,
,Evelyn Garcia,21695.89,48267.43,2023-01-24,
,Olivia Anderson,14282.49,16314.0,2023-01-07,
,Aiden Hernandez,4711.8,46902.57,2023-11-02,
,Ava Hernandez,7587.9,46337.15,2024-08-04,
,Isabella Williams,36391.73,26062.53,2025-04-18,
,Charlotte Gonzalez,20561.67,46873.68,2025-06-20,
,Emma Lopez,47792.4,15562.17,2025-07-08,
,Ava Garcia,32073.75,37253.1,2023-12-27,
,Emma Taylor,6108.76,19476.73,2024-06-01,
,Ava Anderson,24185.05,12565.82,2025-03-13,
,Noah Hernandez,9892.9,33531.58,2025-07-14,
,Matthew Brown,8723.99,37984.12,2024-02-04,
,Emma Moore,15464.04,4806.54,2023-02-10,
,Charlotte Davis,42953.37,33373.7,2024-01-05,
,Jackson Davis,44077.61,9022.14,2024-07-28,
,Alexander Hernandez,12543.52,40095.85,2026-03-21,
,Lucas Moore,11264.73,37806.96,2025-02-02,
,Charlotte Wilson,19517.06,28184.43,2024-01-20,
,Isabella Anderson,48656.15,27437.58,2024-04-28,
,Ella Hernandez,11061.89,46863.27,2026-09-23,
,Harper Moore,15246.96,34878.7,2026-12-17,
,James Martinez,43367.65,13949.94,2024-05-07,
,Benjamin Miller,7483.76,12329.2,2026-02-28,
,Harper Lopez,2746.25,29055.37,2025-11-13,
,Harper Moore,27595.0,29650.58,2026-11-22,
,Emma Martin,40946.69,36020.53,2025-10-24,
,Sophia Smith,8704.32,29894.34,2025-03-12,
,Abigail Taylor,14105.85,14297.36,2023-12-21,
,Evelyn Smith,42836.02,47822.44,2026-10-03,
,Harper Lopez,35636.8,17161.9,2023-01-26,
,Ella Anderson,47740.32,6110.99,2024-11-05,
,Olivia Rodriguez,45068.06,4718.01,2023-05-01,
,Alexander Moore,9473.79,3066.49,2025-02-21,
,Liam Taylor,43031.0,2777.76,2026-10-12,
,Olivia Jackson,25427.87,36567.54,2024-01-03,
,Matthew Martinez,25369.12,23873.21,2025-09-03,
,Evelyn Smith,27051.75,10299.03,2023-02-20,
,James Moore,10604.02,36113.05,2024-05-02,
,Matthew Anderson,42559.27,48974.47,2026-10-20,
,Evelyn Brown,1693.33,47393.17,2025-08-08,
,Alexander Johnson,12122.49,49976.3,2026-07-23,
,Liam Moore,21969.52,37713.86,2023-09-25,
,Evelyn Johnson,11101.34,10143.91,2026-06-08,
,Harper Smith,822.75,13394.65,2026-09-19,
,Abigail Williams,48164.48,14828.85,2023-11-04,
,Mia Moore,34931.31,9738.71,2026-11-23,
,Logan Rodriguez,46801.85,7485.57,2026-11-18,
,Aiden Davis,39764.14,6922.82,2024-06-13,
,Daniel Jackson,38318.98,8120.09,2025-07-22,
,Mia Rodriguez,20793.29,23404.54,2023-09-11,
,Charlotte Garcia,37092.62,48577.65,2023-11-22,
,John Martin,37888.75,32102.0,2026-07-13,
,Emma Williams,49868.97,32319.28,2023-12-25,
,Mason Gonzalez,27924.99,45698.53,2026-09-23,
,James Taylor,39325.69,14354.16,2023-10-16,
,John Thomas,27838.92,39033.93,2025-08-03,
,Emma Martin,24953.84,16913.43,2023-09-11,
,Aiden Martin,9378.79,39716.58,2024-01-28,
,Ava Garcia,1785.61,9611.02,2024-12-26,
,Ava Williams,14322.99,5964.98,2023-06-10,
,James Anderson,32654.72,20635.49,2024-04-10,
,Jackson Garcia,29008.76,19635.26,2024-06-01,
,Harper Anderson,4072.39,38363.22,2026-02-13,
,Noah Thomas,16455.68,21197.46,2025-01-27,
,Lucas Jones,46411.17,5128.39,2023-08-12,
,Daniel Moore,30476.37,17896.29,2024-07-20,
,Amelia Jones,44736.2,18445.36,2025-07-20,
