msisdn,imsi,imei,name,email,iccid,plan,activation_ts
7813719058,547901378887501,494529276043170,Evelyn Hernandez,jackson.garcia186@inboxr.net,886183532280927,free,2026-01-19
7596689543,534397378605789,610571589689253,Ethan Garcia,olivia.anderson664@liveloop.net,207138949954365,free,2024-04-26
5765061835,330126616653681,783067932943141,Benjamin Hernandez,aiden.moore106@liveloop.net,391246184790346,enterprise,2024-08-01
7116616551,431780895606460,189774422538704,Mia Davis,abigail.moore215@liveloop.net,419383115409435,pro,2026-03-17
7230190606,478968255130561,656255008264626,Aiden Anderson,jackson.moore83@hubmail.io,184249012974987,basic,2025-01-03
6013380096,518108715931372,997159450428025,Scarlett Thomas,daniel.hernandez781@cloudreach.io,657699993204004,basic,2026-09-21
8556332705,110727718996487,509934326836764,James Hernandez,mia.moore506@quickdrop.email,363767260445230,enterprise,2025-10-10
2677474573,487831249433790,494403976652346,Lucas Williams,jackson.wilson320@silentcrypt.io,952986087139973,basic,2025-02-02
1756466186,516315092753937,844640951601678,Lucas Anderson,james.lopez206@liveloop.net,208492569841345,pro,2024-09-03
4807038333,475700561041536,902750540493650,James Moore,alexander.williams144@guardpost.io,588858449509118,basic,2024-05-27
5016244511,767446391920279,266790148482095,Ethan Gonzalez,mason.rodriguez990@quickdrop.email,433327885906702,enterprise,2023-02-15
4674324539,950515357865141,765634579698709,John Thomas,abigail.rodriguez724@silentcrypt.io,676011951400015,enterprise,2023-04-03
3693021888,385905765133366,624746992761327,Grace Garcia,isabella.garcia619@guardpost.io,790906249455637,basic,2025-06-20
6686124871,501929518783828,414865952891496,Jackson Miller,ava.johnson659@quickdrop.email,333821774317100,free,2023-02-28
3201293950,292747348859419,941440717490229,Ella Smith,alexander.moore648@liveloop.net,504339754611308,pro,2026-06-28
5783226737,961671792835236,616776431640755,John Jackson,ethan.rodriguez586@liveloop.net,773398648386923,free,2025-01-04
3625523806,560748604384458,586909394337426,Evelyn Williams,mason.wilson729@quickdrop.email,836382703698216,enterprise,2024-06-23
5955971959,614488901247065,243607181601794,Aiden Thomas,james.lopez253@quickdrop.email,897627476172673,basic,2024-11-21
